module_name,modified_date,current_version,newest_version,links,notes,tag
Microsoft.Extensions.Configuration.Xml.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Diagnostics.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Options.DataAnnotations.dll,2024-10-07 19:46,,,,,
Microsoft.VisualBasic.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Html.Abstractions.dll,2024-10-07 19:46,,,,,
System.Transactions.Local.dll,2024-10-07 19:46,,,,,
System.Text.Encoding.dll,2024-10-07 19:46,,,,,
System.Diagnostics.Tools.dll,2024-10-07 19:46,,,,,
System.IO.MemoryMappedFiles.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Hosting.dll,2024-10-07 19:46,,,,,
System.IO.Compression.FileSystem.dll,2024-10-07 19:46,,,,,
System.Security.SecureString.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Identity.Core.dll,2024-10-07 19:46,,,,,
System.IO.Pipes.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.EventSource.dll,2024-10-07 19:46,,,,,
System.Dynamic.Runtime.dll,2024-10-07 19:46,,,,,
System.Runtime.InteropServices.RuntimeInformation.dll,2024-10-07 19:46,,,,,
System.Net.WebSockets.Client.dll,2024-10-07 19:46,,,,,
Microsoft.VisualBasic.Core.dll,2024-10-07 19:46,,,,,
System.Diagnostics.EventLog.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.Console.dll,2024-10-07 19:46,,,,,
System.Net.Sockets.dll,2024-10-07 19:46,,,,,
System.Threading.Tasks.Parallel.dll,2024-10-07 19:46,,,,,
System.Reflection.Extensions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Cryptography.Internal.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.ApiExplorer.dll,2024-10-07 19:46,,,,,
System.Buffers.dll,2024-10-07 19:46,,,,,
System.Text.RegularExpressions.dll,2024-10-07 19:46,,,,,
